image_name,num_distractors,target_type,orientation,color,focus,shape,size,location,pattern
P033syozPYPHD.jpg,50,tulip,0,1,0,0,0,0,0
P79bPJCh9EZ2R.jpg,50,tulip,0,1,0,0,0,0,0
P7SYCirHRuC7Z.jpg,4,dress,0,1,0,0,0,0,0
PBXomUOnnV9H9.jpg,5,pig,1,0,0,0,0,1,0
PBptfSNid2fFy.jpg,11,flower pot,0,1,0,0,0,0,0
PcrxGAfU38qFW.jpg,20,tulip,0,1,0,0,1,0,0
R1O8PFBIhxnmk.jpg,5,egg,0,0,0,0,1,0,0
R2edRhTuUxr2x.jpg,3,goose,1,0,0,0,0,1,0
R5xT4fWjmapZg.jpg,8,robot,0,1,0,0,0,0,0
R9YFf3Z88nbJB.jpg,50,lantern,1,0,0,0,0,0,0
R9wbN8ginDiAq.jpg,10,berry,0,1,0,0,0,0,0
RC0XcdwKnvfGV.jpg,7,shoe,0,1,0,1,0,0,0
RG5r8dbOOKK59.jpg,2,egg,0,0,0,1,1,0,0
RHAEDClwsT1Xz.jpg,50,tulip,0,1,0,1,1,0,0
RMhoFfDG7djTY.jpg,50,pepper,0,1,0,0,0,0,0
RTOHO7Zkvabkr.jpg,8,balloon,0,1,1,0,0,0,0
Rh4ira1wSFbmq.jpg,20,flower,0,1,1,0,1,0,0
RjShInj0HOZbV.jpg,14,stone,0,1,0,1,0,0,0
SLtCLAtFRhfR2.jpg,50,flower,0,1,0,0,0,0,0
SUm2nh9HaDnZp.jpg,9,pigeon,0,1,1,0,0,0,0
SUtTfqmViC9M2.jpg,7,bird,0,1,0,1,1,0,0
Scbi0jSYMscho.jpg,50,flower,0,1,0,1,1,0,0
Sd4LX1vGYuhQd.jpg,8,hole,0,1,0,0,0,0,0
SeXR5LNTqDwSp.jpg,34,eye glasses,0,1,0,1,0,0,1
Skp889IG2H2bi.jpg,8,clothing pin,0,1,0,0,0,1,0
SmyMmS8RH1nNM.jpg,22,plant,0,1,0,0,0,0,0
Sst4WUp7vXt0z.jpg,10,pastry,0,0,0,1,0,0,0
T4BDgsgQWetmu.jpg,12,pasta,0,1,0,0,1,0,0
TDCQbdbUY6WtJ.jpg,10,statue,0,1,0,0,1,0,1
TDIMpFtJGT4K5.jpg,9,egg,0,1,0,0,0,0,0
TJtGanimArO8Q.jpg,11,bottle cap,0,1,1,0,0,0,1
TKhM79l7aMiL8.jpg,8,grape,0,1,0,1,0,0,0
TL3DzXkrePtK1.jpg,5,dog,1,1,0,0,0,0,0
TOpk9t8w71S7S.jpg,50,tulip,0,1,0,0,0,0,0
TbQKBMDA8B31M.jpg,10,banana,0,1,0,0,0,1,0
TcppHbL9kjFXy.jpg,6,knive,0,1,0,0,0,0,1
TraIhewdDPA4g.jpg,25,egg,0,0,1,0,1,0,0
Tvbuu2nim9AbZ.jpg,23,pigeon,0,1,0,0,0,0,0
Twcdh76Fe1xLJ.jpg,50,tulip,0,1,0,0,0,0,0
TxQjIrQyZhrH7.jpg,50,pea,0,1,0,1,0,0,0
U3Kq8OneeY0tZ.jpg,32,pigeon,0,1,0,0,0,0,0
UD8gTdZeHupDv.jpg,40,lego,0,1,0,0,0,0,1
UNLuiUwQa3wtp.jpg,3,bird,0,1,0,0,0,0,1
UPhTbeZl9IZDE.jpg,3,candy,0,1,0,0,0,0,1
URhKpfCG7C6ld.jpg,36,swim ring,0,1,0,0,0,0,0
US7BkSUqTZlmi.jpg,8,window,0,1,0,0,0,0,1
UXLnWYluT7p5t.jpg,3,light,0,1,0,0,0,0,0
UY8vqzl3YHh5D.jpg,40,plant,0,1,0,0,0,0,0
Ub7qETxkAaNTQ.jpg,3,bird,0,0,1,0,1,1,0
Ud2c77PluRxQa.jpg,4,rose,0,1,0,1,0,0,0
UmqOV6WTYDOBq.jpg,11,light,0,1,0,0,0,0,0
Uso4ipxtIgKM0.jpg,18,pigeon,0,1,0,0,0,0,0
UwNqePjFvG7Px.jpg,8,straw,0,1,0,1,0,0,0
UxFV4doArfLUh.jpg,28,flower,0,1,0,1,1,0,0
UyHaZbF1XWgKH.jpg,24,tile,0,0,0,1,1,0,1
V1dpIEFrsAsu5.jpg,6,lego,0,1,1,1,1,0,1
V2CZIIQEabfXw.jpg,5,egg,0,1,0,0,0,0,0
V3FBBXJGsUeYv.jpg,30,flower,0,1,0,1,0,0,1
V4LsZjax0idYQ.jpg,33,window,0,1,0,0,0,0,1
V5bNs8kcuHX5C.jpg,18,lego,0,1,1,1,0,0,1
V5pg4ouF32P3R.jpg,9,ball,0,1,0,0,0,0,0
V8Cw4Q8q5Q4wA.jpg,15,berry,0,1,0,0,0,0,0
V8SoTD3vpzQJ2.jpg,3,urinal,0,0,0,0,0,1,0
V8zd9kFxn8zFI.jpg,50,candy,0,0,0,0,1,0,0
V9IXH5f045Fed.jpg,6,fish,0,1,0,0,0,0,0
VB9c1XswpMyNc.jpg,3,cat,0,1,0,1,1,0,1
VC1ySkCWxHirR.jpg,50,chair,0,1,0,0,0,0,0
VERa0kvnBVEKf.jpg,3,cup,1,0,0,0,0,0,1
VEm3ZNmJzpI0D.jpg,30,screw,0,1,0,0,0,0,0
VHxNxHYi8BEAs.jpg,34,cup,0,1,0,0,0,0,0
VJd12q1GlSHGI.jpg,3,nail,0,1,0,0,0,0,0
VJr4jERkM7eNs.jpg,45,sheep,0,1,0,0,0,0,0
VOerUm3lehUjA.jpg,7,ball,0,1,0,0,0,0,1
VQNgE4dl2gYwT.jpg,100,circle,0,1,0,0,0,0,0
VQxBgqnIv5KM1.jpg,3,light,0,1,0,0,0,0,0
VRTve7X0Tn3vC.jpg,3,toy,0,0,0,1,1,0,1
VRaaX8TucgOWV.jpg,8,book,0,1,0,0,0,0,0
VSBLOASGuuLx3.jpg,3,key chain,0,0,0,1,0,0,1
VTeA95ERgEoDm.jpg,50,figurine,1,0,0,0,0,0,0
VUedIC6ZBEaiD.jpg,6,airplane,0,0,0,0,1,0,0
VVAqK8sgvhreJ.jpg,5,cup,0,1,0,1,1,0,1
VZHnf3mALPbEm.jpg,50,tulip,0,1,0,1,0,0,0
VZb06IDzivZhO.jpg,4,person,0,0,0,1,1,0,0
Vap3IBt8NN9ys.jpg,15,pepper,0,1,0,0,0,0,0
VbmjbnXofa6to.jpg,11,egg,0,1,0,0,0,0,0
VdQK4qnLsjvAk.jpg,50,pin,0,1,0,0,0,0,0
Ve5cHtJY9dHg7.jpg,100,coin,0,1,0,0,0,0,0
VhAtjm0nGW5be.jpg,60,tomato,0,1,0,1,0,0,1
ViL5UZYmL5Hyn.jpg,50,chair,0,1,1,0,0,0,0
VjT1qxFJiL3mz.jpg,4,clothing pin,0,1,1,0,0,0,0
VkkJnY8nRt1aO.jpg,10,flower,0,1,0,0,0,0,0
Vl0m0pfFaad2C.jpg,16,tatoo,0,0,0,1,0,0,0
VnQs7NPsA7Ihy.jpg,10,flower,0,1,0,0,0,0,0
VoMIgUIXi6xKq.jpg,4,handle,0,1,0,0,0,0,0
VrGV0P9b6tG2W.jpg,20,candy,0,1,0,0,0,0,0
VsOqe46FqnlI4.jpg,11,yarn,0,1,0,0,0,0,0
VsVE6Hp5nnMSL.jpg,5,window,1,0,0,1,0,0,0
VtMiHaz6UnLZd.jpg,12,pillar,0,1,0,1,1,0,1
VxNtUTx4MFkpB.jpg,5,egg,0,1,0,0,0,0,0
VxVoUdXdzjp24.jpg,50,watermelon,0,1,0,1,0,0,1
Vxqbtc877gcLq.jpg,20,flower,0,1,0,0,0,0,0
W1nlglwALnvUA.jpg,6,light,1,0,0,1,0,0,0
W2H2cknioRmAT.jpg,10,lemon,0,1,0,1,0,0,0
W3vOEhFYY5NB3.jpg,11,rose,0,1,0,0,1,0,0
W80bLM8YgyCCh.jpg,9,light,0,1,0,0,0,0,0
W8LsZ4v6LESLO.jpg,3,bird,0,1,0,1,0,0,0
